Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2020-05-26,1749.4,1749.65,1715.5,1715.5,1725.5,4642146,10062.83
2020-05-25,1749.4,1749.65,1715.5,1715.5,1725.5,4642146,10062.83
2020-05-24,1749.4,1749.65,1715.5,1715.5,1725.5,4642146,10062.83
2020-05-23,1749.4,1749.65,1715.5,1715.5,1725.5,4642146,10062.83
2020-05-22,1749.4,1749.65,1715.5,1715.5,1725.5,4642146,10062.83
2020-05-21,1749.4,1749.65,1715.5,1715.5,1725.5,3519515,7407.06
2020-05-20,1749.2,1757.6,1744,1715.5,1752.1,1728786,3815.79
2020-05-19,1734.8,1751.6,1727.2,1744,1745.6,1728786,3815.79
2020-05-18,1757.5,1775.8,1729.3,1727.2,1734.4,1728786,3815.79
2020-05-15,1738.5,1761.2,1736.8,1729.3,1756.3,1728786,3815.79
2020-05-14,1723.1,1746.5,1716,1736.8,1740.9,1728786,3815.79
2020-05-13,1705,1726.5,1701.6,1716,1716.4,1728786,3815.79
2020-05-12,1700,1716.7,1693.5,1701.6,1706.8,1728786,3815.79
2020-05-11,1706,1713.8,1692.1,1693.5,1698,1728786,3815.79
2020-05-08,1727.2,1735.5,1703.1,1692.1,1713.9,1728786,3815.79
2020-05-07,1686,1733.2,1683.9,1703.1,1725.8,1728786,3815.79
2020-05-06,1714.1,1716.6,1683,1683.9,1688.5,1728786,3815.79
2020-05-05,1711,1717.8,1695.4,1683,1710.6,1728786,3815.79
2020-05-04,1711.2,1726,1700.3,1695.4,1713.3,1728786,3815.79
2020-05-01,1693.5,1714.4,1676,1700.3,1700.9,1728786,3815.79
2020-04-30,1729.6,1737,1687.5,1676,1694.2,1728786,3815.79
2020-04-29,1724.8,1733.5,1708.2,1687.5,1713.4,1728786,3815.79
2020-04-28,1724.4,1731.9,1704.1,1708.2,1722.2,1728786,3815.79
2020-04-27,1745,1745.8,1720,1704.1,1723.8,1728786,3815.79
2020-04-24,1753,1760.2,1725.4,1720,1735.6,1728786,3815.79
2020-04-23,1736.5,1764.2,1730.6,1725.4,1745.4,1728786,3815.79
2020-04-22,1703.1,1742.4,1695.4,1730.6,1738.3,1728786,3815.79
2020-04-21,1713.3,1718,1666.2,1695.4,1687.8,1728786,3815.79
2020-04-20,1693,1718.4,1685,1666.2,1711.2,1728786,3815.79
2020-04-17,1738.5,1738.8,1691.2,1685,1698.8,1728786,3815.79
2020-04-16,1743.5,1768,1722.6,1691.2,1731.7,1728786,3815.79
2020-04-15,1758.1,1759.8,1731.6,1722.6,1740.2,1728786,3815.79
2020-04-14,1761.5,1788.8,1747.1,1731.6,1768.9,1728786,3815.79
2020-04-13,1742.3,1772.8,1724.2,1747.1,1761.4,1728786,3815.79
2020-04-10,1740.6,1740.6,1740.6,1724.2,1740.6,1728786,3815.79
2020-04-09,1680.5,1754.5,1676.5,1740.6,1752.8,1728786,3815.79
2020-04-08,1678.7,1695.8,1670.7,1676.5,1684.3,1728786,3815.79
2020-04-07,1707.1,1742.6,1672,1670.7,1683.7,1728786,3815.79
2020-04-06,1647.7,1715.8,1638.2,1672,1693.9,1728786,3815.79
2020-04-03,1635.3,1652.8,1624.4,1638.2,1645.7,1728786,3815.79
2020-04-02,1602.4,1645.6,1595.2,1624.4,1637.7,1728786,3815.79
2020-04-01,1589.4,1612.4,1576,1595.2,1591.4,1728786,3815.79
2020-03-31,1643.4,1645.6,1588.2,1576,1596.6,1728786,3815.79
2020-03-30,1663.4,1673.6,1632,1588.2,1643.2,1728786,3815.79
2020-03-27,1653.4,1661,1630.7,1632,1654.1,1728786,3815.79
2020-03-26,1642.2,1677.2,1612,1630.7,1660.3,1728786,3815.79
2020-03-25,1665.5,1698,1609,1612,1634.3,1728786,3815.79
2020-03-24,1566.3,1693.5,1566.3,1609,1663.3,1728786,3815.79
2020-03-23,1508.4,1574.8,1489.4,1566.3,1572.7,1728786,3815.79
2020-03-20,1474.7,1522.5,1460.9,1489.4,1488.1,1728786,3815.79
2020-03-19,1489.7,1505.2,1462.8,1460.9,1482.3,1728786,3815.79
2020-03-18,1533.7,1548.9,1476,1462.8,1480.6,1728786,3815.79
2020-03-17,1505.8,1556.4,1468.6,1476,1528.1,1728786,3815.79
2020-03-16,1564.8,1576,1453,1468.6,1488.6,1728786,3815.79
2020-03-13,1581,1600.4,1507,1453,1519.5,1728786,3815.79
