Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2019-08-05,3662,3662,3662,3662,3662,4642146,10062.83
2019-08-06,3577,3577,3577,3577,3577,3519515,7407.06
2019-08-07,3592,3592,3592,3592,3592,1728786,3815.79
2019-08-08,3537,3537,3537,3537,3537,1708590,3960.27
2019-08-09,3576,3576,3576,3576,3576,1534749,3486.05
2019-08-10,3532,3532,3532,3532,3532,3069914,7162.35
2019-08-11,3532,3532,3532,3532,3532,5082859,11859.95
2019-08-12,3524,3524,3524,3524,3524,2240909,5248.6
2019-08-13,3589,3589,3589,3589,3589,2349368,5503.9
2019-08-14,3536,3536,3536,3536,3536,3423509,7999.55
2019-08-15,3674,3674,3674,3674,3674,5395319,12589.59
2019-08-16,3614,3614,3614,3614,3614,1362058,3202.78
2019-08-17,3573,3573,3573,3573,3573,2614794,6163.7
2019-08-18,3628,3628,3628,3628,3628,3170894,7445.41
2019-08-19,3619,3619,3619,3619,3619,6377909,14784.5
2019-08-20,3630,3630,3630,3630,3630,4570939,10002.01
2019-08-21,3619,3619,3619,3619,3619,3508990,7735.81
2019-08-22,3613,3613,3613,3613,3613,7514106,17130.29
2019-08-23,3670,3670,3670,3670,3670,1232507,2742.84
2019-08-24,3650,3650,3650,3650,3650,1738824,3856.72
2019-08-25,3617,3617,3617,3617,3617,3023097,6674.93
2019-08-26,3608,3608,3608,3608,3608,3554859,8163.82
2019-08-27,3588,3588,3588,3588,3588,5242852,12538.39
2019-08-28,3598,3598,3598,3598,3598,3353833,7913.21
2019-08-29,3558,3558,3558,3558,3558,1921327,4516.57
2019-08-30,3627,3627,3627,3627,3627,1394661,3280.33
2019-08-31,3602,3602,3602,3602,3602,2374782,5571.77
2019-09-01,3703,3703,3703,3703,3703,1990020,4689.94
2019-09-02,3607,3607,3607,3607,3607,1838417,4289.35
2019-09-03,3574,3574,3574,3574,3574,1553953,3662.36
2019-09-04,3538,3538,3538,3538,3538,3272005,7941.4
2019-09-05,3511,3511,3511,3511,3511,1690225,4141.83
2019-09-06,3577,3577,3577,3577,3577,2838238,6885.52
2019-09-07,3524,3524,3524,3524,3524,2551480,6106.81
2019-09-08,3488,3488,3488,3488,3488,1885288,4459.96
2019-09-09,3461,3461,3461,3461,3461,1948583,4573.57
2019-09-10,3524,3524,3524,3524,3524,2035594,4757.48
2019-09-11,3534,3534,3534,3534,3534,1127248,2676.63
2019-09-12,3505,3505,3505,3505,3505,1807313,4305.39
2019-09-13,3458,3458,3458,3458,3458,1963538,4677.58
2019-09-14,3575,3575,3575,3575,3575,2560616,6080.87
2019-09-15,3550,3550,3550,3550,3550,3357945,7893.32
2019-09-16,3501,3501,3501,3501,3501,5700851,13328.52
2019-09-17,3563,3563,3563,3563,3563,13272609,32325.56
2019-09-18,3557,3557,3557,3557,3557,4422342,10917.34
2019-09-19,3607,3607,3607,3607,3607,1867720,4544.83
2019-09-20,3461,3461,3461,3461,3461,1581985,3821.97
2019-09-21,3527,3527,3527,3527,3527,3996921,9565.1
2019-09-22,3553,3553,3553,3553,3553,2310430,5596.44
2019-09-23,3540,3540,3540,3540,3540,2278457,5607.3
2019-09-24,3623,3623,3623,3623,3623,2351769,5645.48
2019-09-25,3641,3641,3641,3641,3641,3003282,7143.47
2019-09-26,3618,3618,3618,3618,3618,4223216,9934.06
2019-09-27,3633,3633,3633,3633,3633,3343525,8021.22
2019-09-28,3613,3613,3613,3613,3613,3158004,7794.77
2019-09-29,3630,3630,3630,3630,3630,3454849,8566.75
2019-09-30,3655,3655,3655,3655,3655,3357333,8804.57
2019-10-01,3684,3684,3684,3684,3684,2250217,6045.37
2019-10-02,3675,3675,3675,3675,3675,1407688,3811.57
2019-10-03,3711,3711,3711,3711,3711,1284523,3532.63
2019-10-04,3750,3750,3750,3750,3750,2267486,6168.1
2019-10-05,3734,3734,3734,3734,3734,2022333,5443.53
2019-10-06,3732,3732,3732,3732,3732,2338411,6459.01
2019-10-07,3736,3736,3736,3736,3736,3598212,9999.82
2019-10-08,3689,3689,3689,3689,3689,6676660,18483.41
2019-10-09,3667,3667,3667,3667,3667,3661633,9740.9
2019-10-10,3708,3708,3708,3708,3708,2077927,5519.02
2019-10-11,3657,3657,3657,3657,3657,4511203,11917.5
2019-10-12,3655,3655,3655,3655,3655,2234204,5905.05
2019-10-13,3688,3688,3688,3688,3688,2208389,5886.61
2019-10-14,3676,3676,3676,3676,3676,2103452,5563.82
2019-10-15,3693,3693,3693,3693,3693,2459832,6442.71
2019-10-16,3689,3689,3689,3689,3689,3020580,7806.4
2019-10-17,3685,3685,3685,3685,3685,3367252,8755.18
2019-10-18,3700,3700,3700,3700,3700,6224725,16640.21
2019-10-19,3711,3711,3711,3711,3711,1541522,4214.24
2019-10-20,3737,3737,3737,3737,3737,3133233,8614.03
2019-10-21,3794,3794,3794,3794,3794,3646744,10067.32
2019-10-22,3724,3724,3724,3724,3724,1232644,3311.87
2019-10-23,3703,3703,3703,3703,3703,1206633,3209.4
2019-10-24,3636,3636,3636,3636,3636,3538690,9470.3
2019-10-25,3661,3661,3661,3661,3661,1104173,2945.64
2019-10-26,3672,3672,3672,3672,3672,1527128,4075.26
2019-10-27,3716,3716,3716,3716,3716,2052017,5408.38
2019-10-28,3744,3744,3744,3744,3744,4208120,11030.56
2019-10-29,3695,3695,3695,3695,3695,1819147,4706.54
2019-10-30,3716,3716,3716,3716,3716,2622839,6920.49
2019-10-31,3800,3800,3800,3800,3800,3469905,9239.62
2019-11-01,3890,3890,3890,3890,3890,4154146,10876.9
2019-11-02,3839,3839,3839,3839,3839,2235734,5803.91
2019-11-03,3829,3829,3829,3829,3829,2649349,6862.75
2019-11-04,3732,3732,3732,3732,3732,2071496,5324.08
2019-11-05,3749,3749,3749,3749,3749,2921253,7380.24
2019-11-06,3850,3850,3850,3850,3850,4295785,10726.5
2019-11-07,3806,3806,3806,3806,3806,3175432,7874.05
2019-11-08,3744,3744,3744,3744,3744,3180360,7762.71
2019-11-09,3663,3663,3663,3663,3663,3297714,8103.65
2019-11-10,3643,3643,3643,3643,3643,7108750,17573.66
2019-11-11,3631,3631,3631,3631,3631,6328483,15295.87
2019-11-12,3641,3641,3641,3641,3641,9298329,23074.68
2019-11-13,3643,3643,3643,3643,3643,16822847,43913.37
2019-11-14,3676,3676,3676,3676,3676,1974327,5685.22
2019-11-15,3758,3758,3758,3758,3758,1446384,4157.17
2019-11-16,3851,3851,3851,3851,3851,1820409,5311
2019-11-17,3860,3860,3860,3860,3860,1720983,4998.87
2019-11-18,3860,3860,3860,3860,3860,1848551,5387.46
2019-11-19,3788,3788,3788,3788,3788,1399442,4014.1
2019-11-20,3841,3841,3841,3841,3841,2561225,7355.63
2019-11-21,3889,3889,3889,3889,3889,1857277,5479.6
2019-11-22,3820,3820,3820,3820,3820,3046154,9025.87
2019-11-23,3671,3671,3671,3671,3671,1858644,5443.94
2019-11-24,3653,3653,3653,3653,3653,4942803,14401.35
2019-11-25,3654,3654,3654,3654,3654,4804882,13808.09
2019-11-26,3639,3639,3639,3639,3639,2131466,6075.2
2019-11-27,3687,3687,3687,3687,3687,1687369,4794.16
2019-11-28,3695,3695,3695,3695,3695,2523492,7225.36
2019-11-29,3734,3734,3734,3734,3734,2434183,6966.56
2019-11-30,3756,3756,3756,3756,3756,4719061,13416.32
2019-12-01,3733,3733,3733,3733,3733,5799262,16355.69
2019-12-02,3743,3743,3743,3743,3743,3030999,8371.24
2019-12-03,3740,3740,3740,3740,3740,2196800,6024.34
2019-12-04,3771,3771,3771,3771,3771,2149205,5896.21
2019-12-05,3874,3874,3874,3874,3874,1996390,5454.47
2019-12-06,3847,3847,3847,3847,3847,2190930,6065.36
2019-12-07,3857,3857,3857,3857,3857,4623765,12889.29
2019-12-08,3870,3870,3870,3870,3870,1852060,5047.58
2019-12-09,3866,3866,3866,3866,3866,2658707,7260.79
2019-12-10,3810,3810,3810,3810,3810,3283985,8975.77
2019-12-11,3897,3897,3897,3897,3897,2613360,7162.95
2019-12-12,3788,3788,3788,3788,3788,6610831,17918.02
2019-12-13,3725,3725,3725,3725,3725,2283408,5951.18
2019-12-14,3792,3792,3792,3792,3792,3071911,8092.83
2019-12-15,3734,3734,3734,3734,3734,2440719,6332.93
2019-12-16,3709,3709,3709,3709,3709,2297852,5859.45
2019-12-17,3627,3627,3627,3627,3627,1681596,4369.46
2019-12-18,3572,3572,3572,3572,3572,1477158,3901.51
2019-12-19,3575,3575,3575,3575,3575,2855717,7453.21
2019-12-20,3643,3643,3643,3643,3643,3665423,9640.91
2019-12-21,3608,3608,3608,3608,3608,2762357,7633.86
2019-12-22,3625,3625,3625,3625,3625,2877987,8081.81
2019-12-23,3600,3600,3600,3600,3600,2056369,5729.14
2019-12-24,3541,3541,3541,3541,3541,3095190,8590.75
2019-12-25,3632,3632,3632,3632,3632,2583575,7052.02
2019-12-26,3630,3630,3630,3630,3630,1614381,4376.16
2019-12-27,3542,3542,3542,3542,3542,2246589,6068.8
2019-12-28,3581,3581,3581,3581,3581,4847214,13070.84
2019-12-29,3583,3583,3583,3583,3583,6601857,18367.89
2019-12-30,3596,3596,3596,3596,3596,4680138,12811.25
2019-12-31,3577,3577,3577,3577,3577,2322191,6392.67
2020-01-01,3587,3587,3587,3587,3587,2808234,7727.14
2020-01-02,3557,3557,3557,3557,3557,4778178,13208.65
2020-01-03,3554,3554,3554,3554,3554,3672359,10027.43
2020-01-04,3535,3535,3535,3535,3535,3895920,10479.23
2020-01-05,3527,3527,3527,3527,3527,5466484,14389.22
2020-01-06,3613,3613,3613,3613,3613,3638163,9678.53
2020-01-07,3639,3639,3639,3639,3639,5120799,13695.83
2020-01-08,3671,3671,3671,3671,3671,2620461,7022.82
2020-01-09,3579,3579,3579,3579,3579,1925414,5331.07
2020-01-10,3709,3709,3709,3709,3709,1807307,5082.79
2020-01-11,3755,3755,3755,3755,3755,2455660,7003.26
2020-01-12,3664,3664,3664,3664,3664,4583181,13079.39
2020-01-13,3760,3760,3760,3760,3760,3121544,8655.43
2020-01-14,3653,3653,3653,3653,3653,5863983,16553.84
2020-01-15,3654,3654,3654,3654,3654,8055761,22500.69
2020-01-16,3651,3651,3651,3651,3651,7044561,18431.55
2020-01-17,3672,3672,3672,3672,3672,6833906,18386.99
2020-01-18,3576,3576,3576,3576,3576,6697007,18375.08
2020-01-19,3574,3574,3574,3574,3574,4593306,13229.01
2020-01-20,3638,3638,3638,3638,3638,5397599,15929.24
2020-01-21,3610,3610,3610,3610,3610,2590100,7871.4
2020-01-22,3656,3656,3656,3656,3656,1806919,5489.77
2020-01-23,3629,3629,3629,3629,3629,3631793,11123.41
2020-01-24,3677,3677,3677,3677,3677,2154759,6585.37
2020-01-25,3668,3668,3668,3668,3668,4416130,13560.72
2020-01-26,3707,3707,3707,3707,3707,3278437,10171.94
2020-01-27,3738,3738,3738,3738,3738,3653286,11183.31
2020-01-28,3741,3741,3741,3741,3741,3408593,10502.65
2020-01-29,3727,3727,3727,3727,3727,3742677,11717.46
2020-01-30,3785,3785,3785,3785,3785,4683847,14922.72
2020-01-31,3836,3836,3836,3836,3836,4519030,14701.51
2020-02-01,3843,3843,3843,3843,3843,14484043,46643.39
2020-02-02,3839,3839,3839,3839,3839,3481728,10911.99
2020-02-03,3736,3736,3736,3736,3736,2517494,7944.49
2020-02-04,3771,3771,3771,3771,3771,2411068,7628.8
2020-02-05,3751,3751,3751,3751,3751,2171903,6855.32
2020-02-06,3630,3630,3630,3630,3630,1896601,5938.16
2020-02-07,3687,3687,3687,3687,3687,2703849,8380.41
