Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2020-05-22,9511.6,9567.1,9438.9,55.92,9461.7,4642146,10062.83
2020-05-21,9511.6,9567.1,9438.9,55.92,9461.7,4642146,10062.83
2020-05-20,9773,9829.3,9368.4,55.92,9512.3,3519515,7407.06
2020-05-19,9730.8,9883.9,9498.7,56.2,9773.3,1728786,3815.79
2020-05-18,9678.4,9930.2,9524.4,56.2,9730.7,1728786,3815.79
2020-05-17,9376.6,9866,9327.8,55.55,9677.7,1728786,3815.79
2020-05-16,9318.1,9579,9233,56.51,9379.5,1728786,3815.79
2020-05-15,9778.6,9819.6,9223.2,57.01,9318,1728786,3815.79
2020-05-14,9298.7,9887.5,9265.8,57.51,9778.4,1728786,3815.79
2020-05-13,8813.9,9384.6,8799.1,57.78,9298.7,1728786,3815.79
2020-05-12,8569.8,8964.5,8542.8,58.23,8813.8,1728786,3815.79
2020-05-11,8737.6,9129.6,8235.6,57.72,8579.8,1728786,3815.79
2020-05-10,9553.9,9569.4,8259.3,57.01,8738.8,1728786,3815.79
2020-05-09,9806,9910.5,9533.6,56.81,9554.6,1728786,3815.79
2020-05-08,9980.1,10018.2,9731.4,56.38,9806.2,1728786,3815.79
2020-05-07,9152.7,10033,9064.8,56.77,9979.8,1728786,3815.79
2020-05-06,9000.6,9373.7,8923.6,59.71,9151.4,1728786,3815.79
2020-05-05,8874.2,9078.7,8800.4,57.54,9001,1728786,3815.79
2020-05-04,8885.5,8945.5,8553.2,56.41,8874.7,1728786,3815.79
2020-05-03,8966.2,9169.9,8742.2,55.56,8885.5,1728786,3815.79
2020-05-02,8821.6,8986.2,8771.3,55.2,8966.3,1728786,3815.79
2020-05-01,8628.6,9040.3,8621,56.16,8821.6,1728786,3815.79
2020-04-30,8770.6,9437.5,8425.5,55.57,8629,1728786,3815.79
2020-04-29,7746.7,8918.5,7729.7,56.32,8770.9,1728786,3815.79
2020-04-28,7766,7770.1,7655.3,55.44,7746.9,1728786,3815.79
2020-04-27,7679.4,7768.5,7637.7,54.06,7766,1728786,3815.79
2020-04-26,7540.4,7679.4,7520.5,53.93,7678.9,1728786,3815.79
2020-04-25,7503.9,7684.6,7451,54.81,7540.4,1728786,3815.79
2020-04-24,7491.3,7583.5,7423.5,56.43,7503.8,1728786,3815.79
2020-04-23,7112.8,7655.4,7036.5,55.32,7488.5,1728786,3815.79
2020-04-22,6842.5,7137.4,6821.8,55.06,7112.9,1728786,3815.79
2020-04-21,6833.4,6919.3,6774.3,54.24,6842.5,1728786,3815.79
2020-04-20,7122.9,7207.5,6771.2,52.66,6833.5,1728786,3815.79
2020-04-19,7230.9,7238,7079.1,54.81,7122.9,1728786,3815.79
2020-04-18,7035.9,7259.4,7031.5,54.29,7230.8,1728786,3815.79
2020-04-17,7085.5,7142.8,7005.8,54.96,7035.8,1728786,3815.79
2020-04-16,6629.1,7159.7,6520.5,52.4,7085.6,1728786,3815.79
2020-04-15,6851.3,6929.5,6615.9,51.02,6629.1,1728786,3815.79
2020-04-14,6841.8,6970.8,6768.6,53.25,6850.9,1728786,3815.79
2020-04-13,6918.1,6920.3,6618.5,52.81,6841.3,1728786,3815.79
2020-04-12,6867.9,7158.8,6785.1,51.8,6917.6,1728786,3815.79
2020-04-11,6862.7,6931.4,6765.1,49.45,6867.8,1728786,3815.79
2020-04-10,7289,7294.4,6756.1,50.79,6863.1,1728786,3815.79
2020-04-09,7361.1,7361.1,7140.3,51.56,7289,1728786,3815.79
2020-04-08,7185.6,7396.1,7153.1,51.5,7361.2,1728786,3815.79
2020-04-07,7332.3,7440.3,7101.7,47.76,7185.2,1728786,3815.79
2020-04-06,6772.8,7335,6770.1,54.85,7332.3,1728786,3815.79
2020-04-05,6857.5,6889.4,6686,54.14,6772.7,1728786,3815.79
2020-04-04,6735.9,6958.6,6679.1,57.11,6857.4,1728786,3815.79
2020-04-03,6799.9,7026.3,6623.6,55.53,6735.9,1728786,3815.79
2020-04-02,6638.8,7182.7,6567.9,54.1,6800.5,1728786,3815.79
2020-04-01,6412.4,6661.3,6157.4,55.31,6638.5,1728786,3815.79
2020-03-31,6391.1,6513.1,6346.3,56.94,6412.5,1728786,3815.79
2020-03-30,5890.4,6576.5,5872.5,57.86,6391,1728786,3815.79
2020-03-29,6233.2,6258.8,5889.3,56.03,5890.4,1728786,3815.79
2020-03-28,6373.4,6374.3,6046.5,55.01,6233.7,1728786,3815.79
2020-03-27,6725.5,6813.7,6322.3,54.3,6373.4,1728786,3815.79
2020-03-26,6677.9,6772.9,6541.7,55,6725.1,1728786,3815.79
