Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-04-24,41.03,41.5,40.65,41.03,41.03,4642146,10062.83
2017-04-25,41.01,41.1,40.68,41.03,41.01,3519515,7407.06
2017-04-26,39.49,41.3,39.11,41.01,39.49,1728786,3815.79
2017-04-27,39.36,40.34,38.72,39.49,39.36,1708590,3960.27
2017-04-28,39.03,40,38.76,39.36,39.03,1534749,3486.05
2017-05-02,39.11,39.51,38.7,39.03,39.11,3069914,7162.35
2017-05-03,38.62,39.29,38.41,39.11,38.62,5082859,11859.95
2017-05-04,38.5,38.64,38.32,38.62,38.5,2240909,5248.6
2017-05-05,38.73,39.34,38.34,38.5,38.73,2349368,5503.9
2017-05-08,38.56,39,38.45,38.73,38.56,3423509,7999.55
2017-05-09,39.75,39.99,38.62,38.56,39.75,5395319,12589.59
2017-05-10,39.07,40.11,38.6,39.75,39.07,1362058,3202.78
2017-05-11,39.83,39.99,39,39.07,39.83,2614794,6163.7
2017-05-12,40.42,40.78,39.48,39.83,40.42,3170894,7445.41
2017-05-15,41.24,41.3,40.05,40.42,41.24,6377909,14784.5
2017-05-16,41.06,41.26,40.3,41.24,41.06,4570939,10002.01
2017-05-17,40.41,41.5,39.77,41.06,40.41,3508990,7735.81
2017-05-18,40.06,40.8,39,40.41,40.06,7514106,17130.29
2017-05-19,39.84,40.05,39.37,40.06,39.84,1232507,2742.84
2017-05-22,39.48,40.4,39.05,39.84,39.48,1738824,3856.72
2017-05-23,39.33,39.7,39.02,39.48,39.33,3023097,6674.93
2017-05-24,40.39,40.76,39.43,39.33,40.39,3554859,8163.82
2017-05-25,39.67,40.75,39.51,40.39,39.67,5242852,12538.39
2017-05-26,40.17,40.23,39.74,39.67,40.17,3353833,7913.21
2017-05-29,40.04,40.21,39.45,40.17,40.04,1921327,4516.57
2017-05-30,38.76,40.04,38.4,40.04,38.76,1394661,3280.33
2017-05-31,38.93,39.42,38.02,38.76,38.93,2374782,5571.77
2017-06-01,39.26,39.55,38.93,38.93,39.26,1990020,4689.94
2017-06-02,38.47,39.5,38.35,39.26,38.47,1838417,4289.35
2017-06-05,39.32,39.43,38.81,38.47,39.32,1553953,3662.36
2017-06-06,38.79,39.32,38.7,39.32,38.79,3272005,7941.4
2017-06-07,38.5,39,38.3,38.79,38.5,1690225,4141.83
2017-06-08,39.13,39.29,38.3,38.5,39.13,2838238,6885.52
2017-06-09,38.94,39.4,38.42,39.13,38.94,2551480,6106.81
2017-06-12,38.8,38.94,38.32,38.94,38.8,1885288,4459.96
2017-06-13,38.84,38.94,38.48,38.8,38.84,1948583,4573.57
2017-06-14,38.41,39,38.38,38.84,38.41,2035594,4757.48
2017-06-15,38.65,38.85,38.36,38.41,38.65,1127248,2676.63
2017-06-16,37.65,38.82,36.88,38.65,37.65,1807313,4305.39
2017-06-19,38.11,38.85,37.76,37.65,38.11,1963538,4677.58
2017-06-20,37.69,38.55,37.53,38.11,37.69,2560616,6080.87
2017-06-21,37.85,38.22,37.5,37.69,37.85,3357945,7893.32
2017-06-22,37.85,38.15,37.61,37.85,37.85,5700851,13328.52
2017-06-23,37.77,38.25,37.53,37.85,37.77,13272609,32325.56
