Date,Close
15/06/2008,14
18/06/2008,17
22/06/2008,26
25/06/2008,38
29/06/2008,39
02/07/2008,50
06/07/2008,8
09/07/2008,16
13/07/2008,32
16/07/2008,40
20/07/2008,46
23/07/2008,55
27/07/2008,3
30/07/2008,22
03/08/2008,23
06/08/2008,42
10/08/2008,48
13/08/2008,50
17/08/2008,1
20/08/2008,5
24/08/2008,6
27/08/2008,10
31/08/2008,13
03/09/2008,44
07/09/2008,6
10/09/2008,8
14/09/2008,26
17/09/2008,32
21/09/2008,37
24/09/2008,42
28/09/2008,12
01/10/2008,15
05/10/2008,25
08/10/2008,39
12/10/2008,43
15/10/2008,51
19/10/2008,2
22/10/2008,17
26/10/2008,30
29/10/2008,33
02/11/2008,42
05/11/2008,55
09/11/2008,3
12/11/2008,28
16/11/2008,38
19/11/2008,43
23/11/2008,46
26/11/2008,54
30/11/2008,2
03/12/2008,29
07/12/2008,30
10/12/2008,36
14/12/2008,39
17/12/2008,44
21/12/2008,16
24/12/2008,21
28/12/2008,24
31/12/2008,36
04/01/2009,47
07/01/2009,53
11/01/2009,1
14/01/2009,11
18/01/2009,17
21/01/2009,19
25/01/2009,23
28/01/2009,31
01/02/2009,9
04/02/2009,12
08/02/2009,13
11/02/2009,14
15/02/2009,15
18/02/2009,53
22/02/2009,4
25/02/2009,6
01/03/2009,10
04/03/2009,17
08/03/2009,20
11/03/2009,29
15/03/2009,5
18/03/2009,8
22/03/2009,12
25/03/2009,16
29/03/2009,25
01/04/2009,51
05/04/2009,13
08/04/2009,19
12/04/2009,25
15/04/2009,33
19/04/2009,40
22/04/2009,46
26/04/2009,7
29/04/2009,23
03/05/2009,25
06/05/2009,27
10/05/2009,31
13/05/2009,32
17/05/2009,21
20/05/2009,22
24/05/2009,38
27/05/2009,42
31/05/2009,43
03/06/2009,47
07/06/2009,19
10/06/2009,27
14/06/2009,28
17/06/2009,29
21/06/2009,32
24/06/2009,50
28/06/2009,27
01/07/2009,32
05/07/2009,34
08/07/2009,35
12/07/2009,48
15/07/2009,55
19/07/2009,11
22/07/2009,17
26/07/2009,20
29/07/2009,21
02/08/2009,28
05/08/2009,55
09/08/2009,7
12/08/2009,25
16/08/2009,33
19/08/2009,35
23/08/2009,47
26/08/2009,49
30/08/2009,19
02/09/2009,28
06/09/2009,32
09/09/2009,47
13/09/2009,52
16/09/2009,55
20/09/2009,4
23/09/2009,5
27/09/2009,10
30/09/2009,19
04/10/2009,29
07/10/2009,37
11/10/2009,2
14/10/2009,8
18/10/2009,12
21/10/2009,23
25/10/2009,30
28/10/2009,55
01/11/2009,4
04/11/2009,16
08/11/2009,37
11/11/2009,38
15/11/2009,44
18/11/2009,46
22/11/2009,2
25/11/2009,10
29/11/2009,13
02/12/2009,16
06/12/2009,18
09/12/2009,38
13/12/2009,24
16/12/2009,34
20/12/2009,35
23/12/2009,36
27/12/2009,45
30/12/2009,54
03/01/2010,10
06/01/2010,14
10/01/2010,19
13/01/2010,32
17/01/2010,34
20/01/2010,48
24/01/2010,1
27/01/2010,15
31/01/2010,17
03/02/2010,25
07/02/2010,32
10/02/2010,37
14/02/2010,7
17/02/2010,22
21/02/2010,31
24/02/2010,35
28/02/2010,51
03/03/2010,55
07/03/2010,11
10/03/2010,19
14/03/2010,27
17/03/2010,28
21/03/2010,32
24/03/2010,54
28/03/2010,9
31/03/2010,17
04/04/2010,18
07/04/2010,25
11/04/2010,28
14/04/2010,47
18/04/2010,6
21/04/2010,10
25/04/2010,13
28/04/2010,25
02/05/2010,29
05/05/2010,45
09/05/2010,4
12/05/2010,10
16/05/2010,31
19/05/2010,39
23/05/2010,51
26/05/2010,52
30/05/2010,7
02/06/2010,15
06/06/2010,23
09/06/2010,34
13/06/2010,37
16/06/2010,45
20/06/2010,1
23/06/2010,23
27/06/2010,32
30/06/2010,34
04/07/2010,39
07/07/2010,52
11/07/2010,4
14/07/2010,23
18/07/2010,26
21/07/2010,34
25/07/2010,49
28/07/2010,54
01/08/2010,21
04/08/2010,34
08/08/2010,40
11/08/2010,44
15/08/2010,48
18/08/2010,52
22/08/2010,2
25/08/2010,26
29/08/2010,51
01/09/2010,52
05/09/2010,53
08/09/2010,56
12/09/2010,19
15/09/2010,36
19/09/2010,38
22/09/2010,41
26/09/2010,48
29/09/2010,53
03/10/2010,9
06/10/2010,12
