Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2020-05-21,1.77,1.774,1.753,1.753,1.764,4642146,10062.83
2020-05-20,1.804,1.889,1.743,1.753,1.771,4642146,10062.83
2020-05-19,1.769,1.857,1.763,1.743,1.83,3519515,7407.06
2020-05-18,1.725,1.851,1.702,1.763,1.783,1728786,3815.79
2020-05-15,1.675,1.732,1.634,1.702,1.646,1728786,3815.79
2020-05-14,1.643,1.715,1.61,1.634,1.681,1728786,3815.79
2020-05-13,1.695,1.741,1.595,1.61,1.616,1728786,3815.79
2020-05-12,1.847,1.849,1.685,1.595,1.72,1728786,3815.79
2020-05-11,1.838,1.89,1.803,1.685,1.826,1728786,3815.79
2020-05-08,1.901,1.927,1.811,1.803,1.823,1728786,3815.79
2020-05-07,1.956,1.989,1.886,1.811,1.894,1728786,3815.79
2020-05-06,2.087,2.111,1.929,1.886,1.944,1728786,3815.79
2020-05-05,1.991,2.162,1.981,1.929,2.134,1728786,3815.79
2020-05-04,1.961,2.006,1.935,1.981,1.993,1728786,3815.79
2020-05-01,1.936,2.016,1.872,1.935,1.89,1728786,3815.79
2020-04-30,1.878,1.953,1.825,1.872,1.949,1728786,3815.79
2020-04-29,1.949,1.973,1.86,1.825,1.869,1728786,3815.79
2020-04-28,1.831,1.923,1.702,1.86,1.794,1728786,3815.79
2020-04-27,1.701,1.85,1.593,1.702,1.819,1728786,3815.79
2020-04-24,1.818,1.839,1.702,1.593,1.746,1728786,3815.79
2020-04-23,1.91,1.953,1.806,1.702,1.815,1728786,3815.79
2020-04-22,1.836,1.952,1.774,1.806,1.939,1728786,3815.79
2020-04-21,1.943,1.974,1.779,1.774,1.821,1728786,3815.79
2020-04-20,1.774,1.97,1.701,1.779,1.924,1728786,3815.79
2020-04-17,1.689,1.806,1.661,1.701,1.753,1728786,3815.79
2020-04-16,1.591,1.719,1.555,1.661,1.686,1728786,3815.79
2020-04-15,1.639,1.666,1.586,1.555,1.598,1728786,3815.79
2020-04-14,1.725,1.737,1.633,1.586,1.65,1728786,3815.79
2020-04-13,1.752,1.813,1.698,1.633,1.724,1728786,3815.79
2020-04-09,1.791,1.825,1.721,1.698,1.733,1728786,3815.79
2020-04-08,1.905,1.918,1.771,1.721,1.783,1728786,3815.79
2020-04-07,1.759,1.912,1.747,1.771,1.852,1728786,3815.79
2020-04-06,1.65,1.755,1.63,1.747,1.731,1728786,3815.79
2020-04-03,1.551,1.659,1.53,1.63,1.621,1728786,3815.79
2020-04-02,1.591,1.624,1.521,1.53,1.552,1728786,3815.79
2020-04-01,1.643,1.679,1.58,1.521,1.587,1728786,3815.79
2020-03-31,1.702,1.731,1.636,1.58,1.64,1728786,3815.79
2020-03-30,1.63,1.708,1.613,1.636,1.69,1728786,3815.79
2020-03-27,1.64,1.65,1.597,1.613,1.634,1728786,3815.79
2020-03-26,1.657,1.68,1.612,1.597,1.637,1728786,3815.79
2020-03-25,1.673,1.716,1.638,1.612,1.659,1728786,3815.79
2020-03-24,1.59,1.687,1.583,1.638,1.653,1728786,3815.79
2020-03-23,1.533,1.628,1.519,1.583,1.602,1728786,3815.79
2020-03-20,1.647,1.7,1.574,1.519,1.604,1728786,3815.79
2020-03-19,1.632,1.683,1.602,1.574,1.654,1728786,3815.79
2020-03-18,1.721,1.728,1.555,1.602,1.604,1728786,3815.79
2020-03-17,1.797,1.82,1.711,1.555,1.729,1728786,3815.79
2020-03-16,1.854,1.854,1.778,1.711,1.815,1728786,3815.79
2020-03-13,1.81,1.951,1.795,1.778,1.869,1728786,3815.79
2020-03-12,1.883,1.883,1.75,1.795,1.841,1728786,3815.79
2020-03-11,1.938,1.998,1.86,1.75,1.878,1728786,3815.79
2020-03-10,1.835,1.955,1.794,1.86,1.936,1728786,3815.79
2020-03-09,1.678,1.83,1.61,1.794,1.778,1728786,3815.79
2020-03-06,1.767,1.767,1.705,1.61,1.708,1728786,3815.79
2020-03-05,1.829,1.847,1.756,1.705,1.772,1728786,3815.79
2020-03-04,1.805,1.845,1.785,1.756,1.827,1728786,3815.79
2020-03-03,1.763,1.839,1.756,1.785,1.8,1728786,3815.79
2020-03-02,1.695,1.765,1.68,1.756,1.756,1728786,3815.79
2020-02-28,1.748,1.75,1.642,1.68,1.684,1728786,3815.79
2020-02-27,1.828,1.831,1.719,1.642,1.752,1728786,3815.79
2020-02-26,1.848,1.88,1.81,1.719,1.821,1728786,3815.79
2020-02-25,1.836,1.862,1.819,1.81,1.847,1728786,3815.79
2020-02-24,1.884,1.884,1.824,1.819,1.827,1728786,3815.79
2020-02-21,1.915,1.925,1.861,1.824,1.905,1728786,3815.79
2020-02-20,1.967,2.025,1.907,1.861,1.92,1728786,3815.79
2020-02-19,1.969,1.978,1.945,1.907,1.955,1728786,3815.79
2020-02-18,1.88,1.983,1.874,1.945,1.981,1728786,3815.79
2020-02-17,1.901,1.946,1.889,1.874,1.93,1728786,3815.79
2020-02-16,1.849,1.907,1.849,1.889,1.902,1728786,3815.79
