TIEMPO,E1
1,2
2,10
3,47
4,1
5,7
6,13
7,3
8,3
9,4
10,7
11,3
12,16
13,11
14,26
15,10
16,23
17,2
18,20
19,3
20,23
21,1
22,13
23,12
24,12
25,14
26,11
27,14
28,7
29,11
30,1
31,9
32,2
33,3
34,1
35,5
36,15
37,2
38,6
39,31
40,3
41,4
42,1
43,14
44,3
45,6
46,5
47,11
48,17
49,6
50,4
51,24
52,4
53,2
54,1
55,45
56,5
57,2
58,43
59,24
60,19
61,2
62,1
63,1
64,18
65,15
66,2
67,2
68,23
69,22
70,2
71,4
72,2
73,33
74,5
75,4
76,1
77,4
78,3
79,7
80,15
81,13
82,2
83,8
84,17
85,1
86,6
87,3
88,13
89,36
90,32
91,6
92,7
93,1
94,1
95,21
96,3
97,14
98,1
99,11
100,13
101,7
102,18
103,7
104,14
105,5
106,6
107,22
108,8
109,1
110,17
111,3
112,1
113,2
114,15
115,5
116,15
117,14
118,4
119,2
120,19
121,2
122,10
123,2
124,5
125,5

