Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
20/05/2020,56.8,56.83,55.92,216,215.15,4642146,10062.83
19/05/2020,58.14,58.34,56.2,210.25,209.2,3519515,7407.06
18/05/2020,56.4,58.8,56.2,217.25,218.2,1728786,3815.79
15/05/2020,56.63,56.71,55.55,,56.33,,
14/05/2020,57.46,57.46,56.51,,56.42,,
13/05/2020,58.5,58.55,57.01,,58.48,,
12/05/2020,58.05,58.89,57.51,,56.03,,
11/05/2020,58.73,58.78,57.78,,56.72,,
08/05/2020,58.3,59.57,58.23,,57.47,,
07/05/2020,58.52,58.88,57.72,,58.37,,
06/05/2020,57.01,58.64,57.01,,57.93,,
05/05/2020,57.49,58.11,56.81,,58.59,,
04/05/2020,57.5,57.95,56.38,,58.32,,
30/04/2020,60.05,60.05,56.77,,58.41,,
29/04/2020,60.75,62.71,59.71,,56.97,,
28/04/2020,57.74,60.5,57.54,,57.63,,
27/04/2020,57.5,57.94,56.41,,57.97,,
24/04/2020,55.57,57.34,55.56,,60.1,,
23/04/2020,56.69,56.69,55.2,,60.07,,
22/04/2020,56.29,57.25,56.16,,57.44,,
21/04/2020,57.36,57.36,55.57,,57.04,,
20/04/2020,57.89,57.89,56.32,,55.42,,
17/04/2020,55.44,58,55.44,,56.5,,
16/04/2020,54.44,55.9,54.06,,55.89,,
15/04/2020,55.49,56.15,53.93,,57.37,,
14/04/2020,57.31,57.69,54.81,,57.93,,
13/04/2020,56.43,58,56.43,,55.14,,
08/04/2020,55.53,57,55.32,,54.45,,
07/04/2020,55.61,56.67,55.06,,55.84,,
06/04/2020,55.77,56.2,54.24,,57.41,,
03/04/2020,55.57,55.94,52.66,,56.43,,
02/04/2020,56.29,56.56,54.81,,55.58,,
01/04/2020,54.96,57,54.29,,55.21,,
31/03/2020,55.29,56.85,54.96,,54.92,,
30/03/2020,53,55.49,52.4,,55.44,,
27/03/2020,52.62,54.42,51.02,,56.1,,
26/03/2020,55.33,56.19,53.25,,55.75,,
25/03/2020,53.46,56.34,52.81,,55.18,,
24/03/2020,51.8,56.17,51.8,,53.35,,
23/03/2020,51.7,53.29,49.45,,53.8,,
20/03/2020,53.5,53.8,50.79,,54.75,,
19/03/2020,55,55,51.56,,53.47,,
18/03/2020,52.96,55.96,51.5,,51.53,,
17/03/2020,54.1,55,47.76,,51.39,,
13/03/2020,56.39,57.98,54.85,,53.42,,
12/03/2020,58,58.36,54.14,,54.88,,
11/03/2020,58.45,60.13,57.11,,53.91,,
10/03/2020,56.26,59.53,55.53,,56.35,,
09/03/2020,55.9,57.1,54.1,,55.6,,
06/03/2020,57.14,58.38,55.31,,59.22,,
05/03/2020,58.8,58.8,56.94,,58.86,,
04/03/2020,58.21,58.8,57.86,,55.82,,
03/03/2020,57.48,58.49,56.03,,57.5,,
02/03/2020,55.2,57.98,55.01,,57.47,,
28/02/2020,55.1,55.94,54.3,,58.66,,
27/02/2020,55.81,56.64,55,,57.93,,
26/02/2020,56.76,56.89,55.2,,57.52,,
25/02/2020,57,57.17,56.17,,55.2,,
24/02/2020,58.09,58.09,56.5,,55.34,,
21/02/2020,57.69,59.09,57.45,,56.07,,
20/02/2020,56.22,58.29,55.62,,56.47,,
19/02/2020,57.87,57.88,55.93,,56.84,,
18/02/2020,57.95,58.74,57.61,,58.83,,
17/02/2020,58.2,58.48,57.72,,57.65,,
14/02/2020,57.39,58.32,56.86,,56.13,,
13/02/2020,56.03,57.4,55.98,,58.32,,
12/02/2020,56.51,57.08,56.02,,58.32,,
11/02/2020,56.09,56.79,55.2,,58.18,,
10/02/2020,56.03,56.44,55.42,,57.27,,
07/02/2020,55.12,56.18,54.81,,56.26,,
06/02/2020,56.37,56.54,55.12,,56.31,,
05/02/2020,56.92,57.2,55.6,,56.13,,
04/02/2020,55.05,57.17,55,,56.03,,
31/01/2020,56.06,56.44,54.47,,55.24,,
30/01/2020,56.1,56.52,55.61,,56.12,,
29/01/2020,55.85,56.18,55.61,,56.64,,
28/01/2020,55.03,56.31,55.03,,54.85,,
27/01/2020,56.6,56.6,54.86,,56.2,,
24/01/2020,57.19,57.19,56.5,,56.07,,
23/01/2020,56.54,57.29,56.52,,55.87,,
22/01/2020,58.29,58.5,56.49,,55,,
21/01/2020,58,58.49,57.21,,56.84,,
20/01/2020,58.07,58.48,57.97,,57.13,,
17/01/2020,57.35,58.3,57.01,,56.61,,
16/01/2020,56.59,57.49,56.31,,58.16,,
15/01/2020,56.68,56.78,56.32,,58.22,,
14/01/2020,56.41,56.84,55.81,,58.12,,
13/01/2020,56.24,57.12,55.94,,57.35,,
10/01/2020,55.71,56.32,55.59,,56.47,,
09/01/2020,55.01,55.71,54.41,,56.68,,
08/01/2020,54.98,55.99,54.6,,56.63,,
07/01/2020,55.26,55.57,54.59,,56.17,,
06/01/2020,54.51,55.69,54.22,,55.57,,
03/01/2020,55.05,55.29,54.35,,55.71,,
02/01/2020,54.2,55.33,53.88,,54.98,,
31/12/2019,54.12,54.38,53.91,,55.4,,
30/12/2019,55.7,55.71,54.04,,54.69,,
27/12/2019,55.39,55.68,55.01,,55.12,,
26/12/2019,55.32,55.47,55,,54.15,,
24/12/2019,55.35,55.44,55.1,,54.18,,
23/12/2019,57,57,55.16,,55.64,,
20/12/2019,55.38,57.19,55.38,,55.32,,
19/12/2019,56.98,56.99,55.27,,55.36,,
18/12/2019,56.29,57.07,55.7,,55.35,,
