Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
24/04/2017,42.98,43.28,42.65,42.65,43.05,4642146,10062.83
25/04/2017,43.05,43.44,42.77,42.65,42.85,3519515,7407.06
26/04/2017,43.22,43.22,41.81,42.77,42.05,1728786,3815.79
27/04/2017,41.91,42.28,41.1,41.81,41.23,1708590,3960.27
28/04/2017,41.23,42.74,41.23,41.1,42.5,1534749,3486.05
02/05/2017,42.12,43.02,42.12,41.23,42.95,3069914,7162.35
03/05/2017,43.02,43.19,42.32,42.12,42.58,5082859,11859.95
04/05/2017,42.58,43.1,42.5,42.32,43.02,2240909,5248.6
05/05/2017,43.02,43.48,42.75,42.5,43.42,2349368,5503.9
08/05/2017,43.13,43.44,42.9,42.75,43.16,3423509,7999.55
09/05/2017,43.5,43.93,43.22,42.9,43.36,5395319,12589.59
10/05/2017,43.36,43.5,42.94,43.22,43.17,1362058,3202.78
11/05/2017,43.17,43.38,42.79,42.94,42.9,2614794,6163.7
12/05/2017,42.9,43.24,42.77,42.79,43.04,3170894,7445.41
15/05/2017,43.11,43.4,42.82,42.77,43.29,6377909,14784.5
16/05/2017,43.29,43.36,42.22,42.82,42.35,4570939,10002.01
17/05/2017,42.16,42.56,42.12,42.22,42.28,3508990,7735.81
18/05/2017,42.01,42.29,41.76,42.12,42.01,7514106,17130.29
19/05/2017,42.07,42.53,41.97,41.76,42.31,1232507,2742.84
22/05/2017,42.6,43.38,42.06,41.97,43.21,1738824,3856.72
23/05/2017,43.28,43.33,42.56,42.06,43.1,3023097,6674.93
24/05/2017,43.19,43.72,43.08,42.56,43.6,3554859,8163.82
25/05/2017,43.59,43.78,43.47,43.08,43.73,5242852,12538.39
26/05/2017,43.8,44.04,43.5,43.47,43.83,3353833,7913.21
29/05/2017,43.42,43.94,43.38,43.5,43.44,1921327,4516.57
30/05/2017,43.37,43.7,42.62,43.38,43,1394661,3280.33
31/05/2017,43.05,43.1,41.57,42.62,42.73,2374782,5571.77
01/06/2017,42.74,42.95,41.81,41.57,41.91,1990020,4689.94
02/06/2017,41.89,42.91,41.89,41.81,42.75,1838417,4289.35
05/06/2017,42.62,43.92,42.62,41.89,43.42,1553953,3662.36
06/06/2017,43.21,43.67,42.6,42.62,42.83,3272005,7941.4
07/06/2017,42.46,42.75,42,42.6,42.28,1690225,4141.83
08/06/2017,42.09,42.34,41.9,42,42.23,2838238,6885.52
09/06/2017,42.05,42.33,42.05,41.9,42.2,2551480,6106.81
12/06/2017,42.39,42.39,41.47,42.05,41.65,1885288,4459.96
13/06/2017,41.69,41.8,41.07,41.47,41.12,1948583,4573.57
14/06/2017,41.2,42.3,41.15,41.07,42.16,2035594,4757.48
15/06/2017,41.81,42.66,41.76,41.15,42.48,1127248,2676.63
16/06/2017,42.35,43.63,41.25,41.76,43,1807313,4305.39
19/06/2017,42.75,43.1,41.86,41.25,42.14,1963538,4677.58
20/06/2017,42.33,42.33,41.65,41.86,41.71,2560616,6080.87
21/06/2017,41.66,42.06,41.41,41.65,41.5,3357945,7893.32
22/06/2017,41.69,42.31,41.41,41.41,42.08,5700851,13328.52
23/06/2017,42.07,42.12,41.45,41.41,41.57,13272609,32325.56
26/06/2017,41.59,42.12,41.45,41.45,42,4422342,10917.34
27/06/2017,42.01,42.01,41.52,41.45,41.83,1867720,4544.83
28/06/2017,41.85,41.99,41.54,41.52,41.8,1581985,3821.97
29/06/2017,41.9,41.91,41,41.54,41.65,3996921,9565.1
30/06/2017,41.72,42.2,41.69,41,42.13,2310430,5596.44
03/07/2017,41.99,42.34,41.76,41.69,41.84,2278457,5607.3
04/07/2017,41.76,42.18,41.76,41.76,41.89,2351769,5645.48
05/07/2017,42,42.25,41.66,41.76,41.72,3003282,7143.47
06/07/2017,41.8,41.97,41.3,41.66,41.41,4223216,9934.06
07/07/2017,41.75,41.99,41.55,41.3,41.69,3343525,8021.22
10/07/2017,41.63,41.9,41.46,41.55,41.82,3158004,7794.77
11/07/2017,41.81,41.99,41.32,41.46,41.45,3454849,8566.75
12/07/2017,41.79,41.97,41.16,41.32,41.33,3357333,8804.57
13/07/2017,41.33,41.89,41.25,41.16,41.74,2250217,6045.37
14/07/2017,41.59,42.18,41.43,41.25,41.94,1407688,3811.57
17/07/2017,42,42,41.62,41.43,41.88,1284523,3532.63
18/07/2017,41.89,42.01,41.37,41.62,41.52,2267486,6168.1
19/07/2017,41.56,41.84,41.21,41.37,41.3,2022333,5443.53
20/07/2017,41.6,41.63,41.06,41.21,41.23,2338411,6459.01
21/07/2017,41.23,41.65,41.12,41.06,41.6,3598212,9999.82
24/07/2017,41.69,41.95,41.21,41.12,41.74,6676660,18483.41
25/07/2017,41.99,42.69,41.74,41.21,42.58,3661633,9740.9
26/07/2017,42.41,42.81,42.02,41.74,42.69,2077927,5519.02
27/07/2017,42.72,42.82,42.05,42.02,42.31,4511203,11917.5
28/07/2017,42.5,42.78,41.52,42.05,41.59,2234204,5905.05
31/07/2017,41.59,41.9,41.01,41.52,41.08,2208389,5886.61
01/08/2017,41.37,42.54,41.3,41.01,42.37,2103452,5563.82
02/08/2017,42.11,43,42.11,41.3,42.75,2459832,6442.71
03/08/2017,42.88,43.37,42.27,42.11,43.23,3020580,7806.4
04/08/2017,43.25,43.3,42.81,42.27,42.93,3367252,8755.18
07/08/2017,42.99,43.29,42.76,42.81,42.91,6224725,16640.21
08/08/2017,43.09,43.74,42.99,42.76,43.5,1541522,4214.24
09/08/2017,43.5,44.17,43.45,42.99,44.05,3133233,8614.03
10/08/2017,44,44,43.72,43.45,43.86,3646744,10067.32
11/08/2017,43.61,44,43.51,43.72,43.86,1232644,3311.87
14/08/2017,43.82,44.23,42.92,43.51,43.23,1206633,3209.4
15/08/2017,43.39,44.36,43.3,42.92,44.3,3538690,9470.3
16/08/2017,44.3,44.49,43.7,43.3,44.08,1104173,2945.64
17/08/2017,43.85,44.2,43.8,43.7,43.98,1527128,4075.26
18/08/2017,43.83,44.39,43.8,43.8,44.16,2052017,5408.38
21/08/2017,44.28,44.48,43.67,43.8,44.09,4208120,11030.56
22/08/2017,44.1,44.39,43.43,43.67,43.56,1819147,4706.54
23/08/2017,43.58,44.29,43.58,43.43,43.99,2622839,6920.49
24/08/2017,43.8,44.85,43.7,43.58,44.33,3469905,9239.62
25/08/2017,44.46,44.46,43.57,43.7,43.67,4154146,10876.9
28/08/2017,43.77,43.93,42.41,43.57,42.99,2235734,5803.91
29/08/2017,42.9,43.27,42.72,42.41,43.14,2649349,6862.75
30/08/2017,43.02,43.25,42.82,42.72,42.98,2071496,5324.08
31/08/2017,43.18,43.68,42.79,42.82,43.49,2921253,7380.24
01/09/2017,43.49,43.77,42.83,42.79,42.98,4295785,10726.5
04/09/2017,42.87,43.22,42.81,42.83,42.86,3175432,7874.05
05/09/2017,42.82,43.06,41.71,42.81,41.93,3180360,7762.71
06/09/2017,42.04,43.09,41.8,41.71,43,3297714,8103.65
07/09/2017,43.07,43.33,41.86,41.8,42.18,7108750,17573.66
08/09/2017,42.04,42.68,41.91,41.86,42.44,6328483,15295.87
11/09/2017,42.55,42.94,42.55,41.91,42.72,9298329,23074.68
12/09/2017,42.79,43.09,42.19,42.55,42.34,16822847,43913.37
13/09/2017,42.51,42.51,42,42.19,42.18,1974327,5685.22
14/09/2017,42.29,42.29,41.87,42,41.98,1446384,4157.17
15/09/2017,41.88,42.17,41.15,41.87,41.23,1820409,5311
18/09/2017,41.43,42,41.32,41.15,41.94,1720983,4998.87
19/09/2017,42.04,42.24,41.57,41.32,42.24,1848551,5387.46
20/09/2017,42.24,42.24,41.95,41.57,42.08,1399442,4014.1
21/09/2017,42.21,42.29,41.51,41.95,41.6,2561225,7355.63
22/09/2017,41.87,41.87,41.02,41.51,41.65,1857277,5479.6
25/09/2017,41.37,41.9,41.37,41.02,41.77,3046154,9025.87
26/09/2017,41.82,41.9,41.6,41.37,41.71,1858644,5443.94
27/09/2017,41.83,41.83,41.3,41.6,41.37,4942803,14401.35
28/09/2017,41.24,41.77,41.21,41.3,41.56,4804882,13808.09
29/09/2017,41.51,41.8,41.51,41.21,41.7,2131466,6075.2
02/10/2017,41.8,42.44,41.7,41.51,42.35,1687369,4794.16
03/10/2017,42.12,42.6,41.8,41.7,41.97,2523492,7225.36
04/10/2017,42.07,42.4,41.76,41.8,42.32,2434183,6966.56
05/10/2017,42.44,42.91,42.12,41.76,42.35,4719061,13416.32
06/10/2017,42.58,42.99,42.43,42.12,42.85,5799262,16355.69
09/10/2017,42.97,43.2,42.52,42.43,43.03,3030999,8371.24
10/10/2017,43.14,43.18,42.27,42.52,42.41,2196800,6024.34
11/10/2017,42.55,44.1,42.51,42.27,43.97,2149205,5896.21
12/10/2017,43.6,44.01,43.36,42.51,43.95,1996390,5454.47
13/10/2017,43.95,44.12,43.42,43.36,43.97,2190930,6065.36
16/10/2017,43.61,44.13,43.29,43.42,43.4,4623765,12889.29
17/10/2017,43.4,44.1,43.34,43.29,43.77,1852060,5047.58
18/10/2017,43.65,43.91,43.37,43.34,43.65,2658707,7260.79
19/10/2017,43.65,43.78,42.98,43.37,43.1,3283985,8975.77
20/10/2017,43.69,44.07,41.72,42.98,41.92,2613360,7162.95
23/10/2017,42.06,42.46,41.84,41.72,41.94,6610831,17918.02
24/10/2017,42.03,42.87,42,41.84,42.82,2283408,5951.18
25/10/2017,42.85,43.16,41.88,42,42,3071911,8092.83
26/10/2017,42.4,43.04,42.09,41.88,42.86,2440719,6332.93
27/10/2017,42.85,43.49,42.6,42.09,43.31,2297852,5859.45
30/10/2017,43.5,43.5,42.3,42.6,42.53,1681596,4369.46
31/10/2017,42.88,43.43,42.6,42.3,42.84,1477158,3901.51
01/11/2017,43.13,43.49,42.88,42.6,43.03,2855717,7453.21
03/11/2017,43.03,44.3,42.86,42.88,44.15,3665423,9640.91
06/11/2017,44.1,44.3,43.59,42.86,44.18,2762357,7633.86
07/11/2017,44.28,44.9,43.45,43.59,43.77,2877987,8081.81
08/11/2017,44,44.49,43.61,43.45,44.26,2056369,5729.14
09/11/2017,44.37,45.1,44.13,43.61,45,3095190,8590.75
10/11/2017,45.11,45.21,44.36,44.13,44.52,2583575,7052.02
13/11/2017,44.63,45.13,44.09,44.36,44.49,1614381,4376.16
14/11/2017,44.49,45,44.21,44.09,44.68,2246589,6068.8
15/11/2017,44.79,45.45,44.4,44.21,45.19,4847214,13070.84
16/11/2017,45.34,45.94,44.68,44.4,45.13,6601857,18367.89
17/11/2017,45.39,46,44.95,44.68,45.64,4680138,12811.25
21/11/2017,45.53,47.25,45.45,44.95,47.06,2322191,6392.67
22/11/2017,46.95,47.29,45.97,45.45,46.38,2808234,7727.14
23/11/2017,46.49,46.49,45.36,45.97,45.66,4778178,13208.65
24/11/2017,45.78,46.01,44.9,45.36,45.66,3672359,10027.43
27/11/2017,45.31,45.31,43.75,44.9,43.96,3895920,10479.23
28/11/2017,43.96,44.84,43.71,43.75,44.43,5466484,14389.22
29/11/2017,44.54,46.27,44.2,43.71,45.81,3638163,9678.53
30/11/2017,45.7,45.99,43.74,44.2,43.92,5120799,13695.83
01/12/2017,44.14,44.38,43.6,43.74,44.03,2620461,7022.82
04/12/2017,43.87,44.48,43.71,43.6,44.23,1925414,5331.07
05/12/2017,44.34,44.52,43.77,43.71,44.3,1807307,5082.79
06/12/2017,44.42,44.7,43.91,43.77,44.61,2455660,7003.26
07/12/2017,44.76,44.85,44.11,43.91,44.23,4583181,13079.39
08/12/2017,44.72,45.7,44.54,44.11,45.46,3121544,8655.43
11/12/2017,45.47,46,45.28,44.54,45.85,5863983,16553.84
13/12/2017,45.63,46.23,45.26,45.28,45.42,8055761,22500.69
14/12/2017,45.42,45.95,45.21,45.26,45.44,7044561,18431.55
15/12/2017,45.33,46.37,45.26,45.21,45.86,6833906,18386.99
18/12/2017,45.76,46.59,45.76,45.26,46.26,6697007,18375.08
19/12/2017,46.15,46.59,45.55,45.76,45.85,4593306,13229.01
20/12/2017,45.96,46.42,45.85,45.55,46.22,5397599,15929.24
21/12/2017,46.22,46.59,45.99,45.85,46.52,2590100,7871.4
22/12/2017,46.4,46.5,45.87,45.99,46.01,1806919,5489.77
26/12/2017,45.9,46.39,45.77,45.87,45.95,3631793,11123.41
27/12/2017,46.18,46.89,46.18,45.77,46.81,2154759,6585.37
28/12/2017,46.81,47.29,46.17,46.18,47.19,4416130,13560.72
29/12/2017,47.29,48.5,47.11,46.17,48.19,3278437,10171.94
02/01/2018,48.15,48.59,47.7,47.11,48.03,3653286,11183.31
03/01/2018,47.91,48,47.38,47.7,47.59,3408593,10502.65
04/01/2018,47.6,48.21,47.49,47.38,47.61,3742677,11717.46
05/01/2018,47.7,48.17,47.55,47.49,48.09,4683847,14922.72
08/01/2018,48.1,48.5,47.98,47.55,48.32,4519030,14701.51
09/01/2018,48.2,48.21,46.21,47.98,46.67,14484043,46643.39
10/01/2018,46.38,46.88,45.04,46.21,45.14,3481728,10911.99
11/01/2018,45.3,45.3,44.7,45.04,45.1,2517494,7944.49
12/01/2018,45.03,46.03,44.94,44.7,45.68,2411068,7628.8
15/01/2018,45.9,46.1,45.42,44.94,45.83,2171903,6855.32
16/01/2018,45.72,46.97,45.72,45.42,46.9,1896601,5938.16
17/01/2018,46.53,47.79,46.4,45.72,47.47,2703849,8380.41
18/01/2018,47.35,47.69,46.7,46.4,47.41,2073353,6469.92
19/01/2018,47.25,47.54,47,46.7,47.29,2014415,6252.42
22/01/2018,47.39,48.1,47.15,47,48.02,1602814,5040.75
23/01/2018,48,48,46.91,47.15,47.31,6874520,21586.26
24/01/2018,47.33,47.73,47.11,46.91,47.3,4620000,14164.22
25/01/2018,47.69,47.69,46,47.11,46.12,3315278,10164.51
26/01/2018,45.96,46.42,45.38,46,45.52,3956481,12073.55
29/01/2018,45.7,46.12,45.45,45.38,45.94,4703911,14271.47
30/01/2018,45.79,46,45.23,45.45,45.3,2280137,6845.56
31/01/2018,45.3,46.76,45.21,45.23,46.64,4692403,14149.92
01/02/2018,46.63,47.07,45.34,45.21,46.13,8383608,24973.97
02/02/2018,46.13,46.73,45.46,45.34,46.64,5912782,17013.97
06/02/2018,44.6,45.93,44.31,45.46,44.61,3036814,8735.39
07/02/2018,44.83,45.7,44.75,44.31,45.56,5575066,15810.93
08/02/2018,45.9,46.01,44.83,44.75,45.23,6799578,19574.91
09/02/2018,45.79,45.79,44.06,44.83,44.59,6874578,20150.22
12/02/2018,44.71,45.14,44.7,44.06,44.85,8045275,23729.27
13/02/2018,44.71,45.15,44.61,44.7,44.91,4297335,12354.21
14/02/2018,44.99,45.08,44.69,44.61,44.84,3820082,10662.6
15/02/2018,45.01,45.34,44.78,44.69,44.94,4358618,12100.11
16/02/2018,45,45.65,44.67,44.78,44.95,4876970,13694.44
19/02/2018,45.08,45.33,44.14,44.67,45.04,5784862,16212.97
20/02/2018,44.98,44.98,44.25,44.14,44.38,7150041,20637.33
21/02/2018,44.39,44.6,43.58,44.25,44.41,9944314,28436.36
22/02/2018,44.5,45.08,44.21,43.58,44.95,6464166,18367.29
23/02/2018,45.09,45.25,44.56,44.21,45.15,11258640,32227.87
26/02/2018,45.21,45.21,44.41,44.56,44.5,2208868,6106.05
27/02/2018,44.43,44.8,43.92,44.41,44.02,3855810,10704.91
28/02/2018,44.13,44.7,43.69,43.92,44,3371088,9240.31
01/03/2018,43.91,45.25,43.91,43.69,45.13,5015906,13645.79
02/03/2018,44.88,45.74,44.66,43.91,45.6,12063135,33327.37
05/03/2018,45.78,45.82,45.06,44.66,45.51,13458563,36047.39
06/03/2018,45.74,46.86,45.65,45.06,46.52,6857865,17611.63
07/03/2018,46.5,46.52,45.9,45.65,46.44,6292626,15781.35
08/03/2018,46.5,47,45.92,45.9,46.95,17805319,44321.86
09/03/2018,47,47.3,46.74,45.92,46.92,15847309,37901.49
12/03/2018,47.2,47.59,46.82,46.74,46.95,2923051,6914.92
13/03/2018,46.93,47.68,46.42,46.82,47.04,7726311,18509.13
14/03/2018,47.12,47.12,46.21,46.42,46.58,11299727,26521.93
15/03/2018,46.74,47.12,46.21,46.21,46.59,3299527,7424.32
16/03/2018,46.7,46.88,45.61,46.21,46.77,5306883,12105.05
20/03/2018,46.36,47,46.26,45.61,46.94,6994467,16298.62
21/03/2018,47,47.2,46.36,46.26,46.8,1920643,4331.7
22/03/2018,46.62,46.98,46.16,46.36,46.42,7866167,17834.16
23/03/2018,46.42,47,45.44,46.16,45.82,3608627,8238.83
26/03/2018,45.98,47.18,45.56,45.44,47.12,5175219,11696.96
27/03/2018,47.2,47.2,46.62,45.56,46.9,13953152,31569.51
28/03/2018,47.1,47.42,46,46.62,46.26,8891566,19257.33
02/04/2018,46.37,47.09,46.31,46,46.45,4964383,10341.97
03/04/2018,46.34,47.51,46.18,46.31,47.36,2640192,5437.31
04/04/2018,47.2,47.68,46.96,46.18,47.54,3568231,7402.2
05/04/2018,47.5,48.89,47.45,46.96,48.64,2952899,6030.3
06/04/2018,48.64,49.1,48.26,47.45,48.8,532661,1095.73
09/04/2018,49,49.7,48.41,48.26,49.48,4687271,9730.6
10/04/2018,49.5,49.8,49.12,48.41,49.42,3269191,6898.79
11/04/2018,49.12,49.99,49.12,49.12,49.7,2658347,5563.4
12/04/2018,49.78,50.41,49.5,49.12,50.13,3171251,6713.26
13/04/2018,50.4,50.6,50,49.5,50.52,3902627,8224.13
16/04/2018,50.64,50.99,50.06,50,50.44,6891689,14629.38
17/04/2018,50,50.57,49.68,50.06,50.15,2125747,4448.8
18/04/2018,50,50.48,49.79,49.68,49.89,1653094,3454.22
19/04/2018,49.89,49.99,49.39,49.79,49.69,2534607,5332.72
20/04/2018,49.57,50.27,49.53,49.39,49.8,2228532,4637.19
23/04/2018,49.68,50.29,48.67,49.53,49.41,1964885,4032.28
24/04/2018,49.13,49.99,48.78,48.67,49.59,1985873,4118.57
25/04/2018,49.08,50.37,49.08,48.78,50.23,3721338,7700.44
26/04/2018,50.01,52.2,49.64,49.08,51.98,4602566,9312.65
27/04/2018,51.86,52.49,51.5,49.64,52.22,3331256,6727.73
30/04/2018,52.08,52.95,51.81,51.5,51.97,5546594,11185.5
02/05/2018,51.75,52.5,51.7,51.81,52.17,4019965,7877.39
03/05/2018,52.12,52.19,51.29,51.7,51.7,3851873,7911.13
04/05/2018,51.5,51.92,51.1,51.29,51.67,2914695,6159.43
07/05/2018,51.55,52.5,51.01,51.1,51.14,2906933,6234.53
08/05/2018,50.69,50.86,50.1,51.01,50.45,9580786,20840.29
09/05/2018,50.46,50.59,48.6,50.1,49.52,2491966,5303.92
10/05/2018,49.51,50.49,49.51,48.6,50.07,2608124,5500.51
11/05/2018,50.07,50.2,49.8,49.51,50.07,2980684,6266.23
14/05/2018,50.13,50.46,49.43,49.8,49.5,4637092,9768.64
15/05/2018,49.41,49.92,49.16,49.43,49.26,4884083,10349.32
16/05/2018,49.26,49.74,49.11,49.16,49.39,3393087,7098.12
17/05/2018,49.45,49.45,48.65,49.11,48.92,6430260,13393.1
18/05/2018,48.8,52,48.15,48.65,49.67,5862028,12129.82
21/05/2018,49.67,49.89,48.81,48.15,48.91,14490021,29584.24
22/05/2018,48.8,49.49,48.76,48.81,49.27,3442385,6738.89
23/05/2018,49.03,50.7,48.91,48.76,50.36,4372250,8461.6
24/05/2018,50.65,50.65,49.31,48.91,50.39,3401210,6743.59
25/05/2018,50.97,50.97,49.72,49.31,50.49,7760949,15413.6
28/05/2018,49.8,50.36,49.53,49.72,49.73,7173447,14034.74
29/05/2018,49.75,51.32,49.52,49.53,51.08,5679382,10969.25
30/05/2018,51.15,51.35,49.8,49.52,49.98,3684762,7147.52
31/05/2018,49.92,50.68,49.66,49.8,50.06,4587179,8960.23
01/06/2018,49.96,51,49.76,49.66,49.99,7522673,14522.9
04/06/2018,50.13,50.5,49.52,49.76,49.93,7466196,14417.1
05/06/2018,49.75,50.24,49.26,49.52,49.4,15744338,31403.67
06/06/2018,49.42,49.67,48.75,49.26,49.26,10030010,19308.69
07/06/2018,49.5,50.19,49.1,48.75,50.06,10381703,20050.09
08/06/2018,49.94,50.29,49.63,49.1,50.23,29191015,55755.08
11/06/2018,50.35,50.39,49.75,49.63,49.95,9368807,16312.73
12/06/2018,50.18,51.49,49.95,49.75,50.56,6027593,9628.51
13/06/2018,50.37,50.8,49.88,49.95,50.03,2470478,3921.42
14/06/2018,49.89,50.94,49.89,49.88,50.67,1267995,2082.83
15/06/2018,50.62,51.72,49.99,49.89,51.57,2372930,3988.91
18/06/2018,52,52.34,51.21,49.99,51.96,2548868,4339.35
19/06/2018,51.83,52.64,51.51,51.21,52.5,2298689,3815.79
20/06/2018,52.66,53.49,51.43,51.51,51.6,2895078,4845.26
21/06/2018,51.31,52.85,51.31,51.43,52.42,2009220,3334.75
22/06/2018,52.29,53.01,51.52,51.31,52.88,2140964,3622.9
25/06/2018,53.08,53.38,52.46,51.52,52.86,1896521,3230.5
26/06/2018,53.16,53.36,51.96,52.46,52.37,2290563,3860.48
27/06/2018,52.09,52.5,51.86,51.96,52.27,2370296,4031.92
28/06/2018,52.28,52.54,52.13,51.86,52.39,3803339,6583.98
29/06/2018,52.45,52.9,52.06,52.13,52.36,2103806,3600.42
02/07/2018,52.46,52.5,51.36,52.06,51.56,2636591,4536.3
03/07/2018,51.7,52.6,51.36,51.36,51.51,4670938,8039.92
04/07/2018,51.29,51.88,51.26,51.36,51.74,2791324,4827.35
05/07/2018,51.94,53.33,51.45,51.26,53,4161102,7313.99
06/07/2018,52.89,53.82,52.89,51.45,53.41,3264325,5734.23
09/07/2018,53.53,53.95,53.02,52.89,53.68,4882663,8646
10/07/2018,53.68,55.39,53.57,53.02,55.14,2831387,4932.13
11/07/2018,55.09,55.2,52.72,53.57,53.11,5222043,9084.43
12/07/2018,53.4,54.25,52.95,52.72,53.49,10623109,18368.34
13/07/2018,53.39,53.79,52.91,52.95,53.18,12571250,21392.59
16/07/2018,53.11,54.02,52.37,52.91,52.53,4761386,7866.08
17/07/2018,52.54,53.99,52.48,52.37,53.92,6442241,10106.02
18/07/2018,53.78,55.42,53.65,52.48,54.91,4873097,7546.37
19/07/2018,54.48,55.19,54.11,53.65,54.98,5849123,9038.88
20/07/2018,54.85,56.8,53,54.11,55.76,3080845,4670.92
23/07/2018,55.63,56.8,55.18,53,55.73,8680232,13243.65
24/07/2018,55.86,56.94,55.7,55.18,56.79,1854572,2787.02
25/07/2018,56.99,57.6,56.26,55.7,57.48,2280933,3427.43
26/07/2018,57.2,57.2,53.8,56.26,54.09,2135161,3171.42
27/07/2018,54.27,54.44,53.85,53.8,54.2,1465569,2168.84
30/07/2018,54.29,54.53,53.87,53.85,54.18,1980476,3003.79
31/07/2018,54.02,54.58,54.02,53.87,54.43,2216575,3452.47
01/08/2018,54.58,54.97,54.2,54.02,54.78,2770731,4366.89
02/08/2018,54.51,54.84,54.31,54.2,54.47,1212404,1905.12
03/08/2018,54.74,55.13,53.45,54.31,53.6,1362450,2137.51
06/08/2018,53.98,54.25,53.36,53.45,54.03,1968954,3144.41
07/08/2018,54.2,54.2,53.19,53.36,53.32,3647423,5845.75
08/08/2018,53.32,53.36,52.5,53.19,52.63,4815053,7637.53
09/08/2018,52.74,52.81,51.64,52.5,51.78,3463217,5359.78
10/08/2018,51.77,51.97,50.8,51.64,50.93,1438107,2198.67
13/08/2018,50.98,52.22,50.51,50.8,52.05,1319642,2033.52
14/08/2018,52.27,52.94,51.81,50.51,52.73,1479812,2293.76
15/08/2018,52.42,52.7,51.81,51.81,52.41,1943703,3006.86
16/08/2018,52.59,53.43,52.15,51.81,53.27,1290705,1983
17/08/2018,53.37,53.64,52.61,52.15,53.31,1647207,2549.95
20/08/2018,53.1,53.25,52.7,52.61,52.76,3603942,5621.37
21/08/2018,52.63,53.68,52.63,52.7,53.4,2952069,4485.21
22/08/2018,53.43,54.97,53.11,52.63,54.68,3325237,4964.89
23/08/2018,54.69,55.12,54.4,53.11,54.96,1513053,2196.49
24/08/2018,54.7,55.04,54,54.4,54.08,977041,1425.46
27/08/2018,54.3,55.21,54.2,54,55.06,1417686,2068.14
28/08/2018,55.25,55.25,54.27,54.2,54.52,1842806,2641.78
29/08/2018,54.27,54.68,54.18,54.27,54.33,1755862,2511.75
30/08/2018,54.11,54.28,52.76,54.18,52.98,1355129,1972.13
31/08/2018,52.89,53.25,52.65,52.76,52.89,1098727,1636.02
03/09/2018,52.69,53.26,52.4,52.65,52.57,2744849,4157.98
04/09/2018,52.73,53.22,52.57,52.4,53.01,1233917,1847.07
05/09/2018,52.65,52.98,52.22,52.57,52.6,1161590,1779.67
06/09/2018,52.46,52.81,52.17,52.22,52.68,1306020,2013.41
07/09/2018,52.52,52.6,51.62,52.17,52.25,1012554,1558.96
10/09/2018,52.42,52.9,51.86,51.62,52.76,940916,1435.63
11/09/2018,52.4,53.55,52.32,51.86,53.26,589464,910.88
12/09/2018,53.13,53.33,52.36,52.32,52.67,1186929,1838.9
13/09/2018,52.88,54.78,52.56,52.36,54.53,939148,1444.34
14/09/2018,54.41,55.09,54.39,52.56,54.87,1239593,1897.26
17/09/2018,54.86,55.03,54.52,54.39,54.73,1349536,2073.09
18/09/2018,54.55,55,54.51,54.52,54.9,1653237,2581.07
19/09/2018,54.78,56.3,54.67,54.51,56.19,1523044,2385.92
20/09/2018,56,56.43,54.9,54.67,56,6827849,10835.58
21/09/2018,56,56.31,55.37,54.9,55.47,1132516,1736.48
24/09/2018,55.37,56.8,55.25,55.37,56.05,1388038,2122.54
25/09/2018,55.91,56.75,55.77,55.25,56.23,4161713,6433.14
26/09/2018,56.39,57,56.24,55.77,56.75,945527,1437.23
27/09/2018,56.54,57.25,56.41,56.24,57.16,1079887,1642.96
28/09/2018,57.17,57.25,56.63,56.41,57.03,1293698,1966.07
01/10/2018,57.03,58,56.16,56.63,56.28,1540540,2346.43
02/10/2018,55.9,56.62,54.66,56.16,54.72,1092317,1632.17
03/10/2018,54.82,55.61,54.56,54.66,55.5,1563947,2356.03
04/10/2018,55.37,55.64,54.31,54.56,54.71,830703,1242.12
05/10/2018,54.88,55.46,53.36,54.31,53.42,1272204,1929.81
08/10/2018,53.27,54.58,53.21,53.36,54.09,1907247,2899.6
09/10/2018,54.01,55.49,53.8,53.21,55.11,2064221,3146.21
10/10/2018,55,55.32,54.41,53.8,54.82,1857915,2800.01
11/10/2018,54.61,55.35,53.56,54.41,53.74,1444642,2202.25
12/10/2018,53.94,54.79,53.71,53.56,53.87,2295942,3509.67
15/10/2018,53.81,55.43,53.8,53.71,55.27,2011288,3079.38
16/10/2018,55.23,55.49,54.75,53.8,55.25,1788548,2722.96
17/10/2018,54.98,56.98,54.8,54.75,56.82,1193137,1803.31
18/10/2018,56.32,56.88,55.08,54.8,55.29,3022795,4557.84
