Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-04-24,42.98,43.28,42.65,42.65,43.05,4642146,10062.83
2017-04-25,43.05,43.44,42.77,42.65,42.85,3519515,7407.06
2017-04-26,43.22,43.22,41.81,42.77,42.05,1728786,3815.79
2017-04-27,41.91,42.28,41.1,41.81,41.23,1708590,3960.27
2017-04-28,41.23,42.74,41.23,41.1,42.5,1534749,3486.05
2017-05-02,42.12,43.02,42.12,41.23,42.95,3069914,7162.35
2017-05-03,43.02,43.19,42.32,42.12,42.58,5082859,11859.95
2017-05-04,42.58,43.1,42.5,42.32,43.02,2240909,5248.6
2017-05-05,43.02,43.48,42.75,42.5,43.42,2349368,5503.9
2017-05-08,43.13,43.44,42.9,42.75,43.16,3423509,7999.55
2017-05-09,43.5,43.93,43.22,42.9,43.36,5395319,12589.59
2017-05-10,43.36,43.5,42.94,43.22,43.17,1362058,3202.78
2017-05-11,43.17,43.38,42.79,42.94,42.9,2614794,6163.7
2017-05-12,42.9,43.24,42.77,42.79,43.04,3170894,7445.41
2017-05-15,43.11,43.4,42.82,42.77,43.29,6377909,14784.5
2017-05-16,43.29,43.36,42.22,42.82,42.35,4570939,10002.01
2017-05-17,42.16,42.56,42.12,42.22,42.28,3508990,7735.81
2017-05-18,42.01,42.29,41.76,42.12,42.01,7514106,17130.29
2017-05-19,42.07,42.53,41.97,41.76,42.31,1232507,2742.84
2017-05-22,42.6,43.38,42.06,41.97,43.21,1738824,3856.72
2017-05-23,43.28,43.33,42.56,42.06,43.1,3023097,6674.93
2017-05-24,43.19,43.72,43.08,42.56,43.6,3554859,8163.82
2017-05-25,43.59,43.78,43.47,43.08,43.73,5242852,12538.39
2017-05-26,43.8,44.04,43.5,43.47,43.83,3353833,7913.21
2017-05-29,43.42,43.94,43.38,43.5,43.44,1921327,4516.57
2017-05-30,43.37,43.7,42.62,43.38,43,1394661,3280.33
2017-05-31,43.05,43.1,41.57,42.62,42.73,2374782,5571.77
2017-06-01,42.74,42.95,41.81,41.57,41.91,1990020,4689.94
2017-06-02,41.89,42.91,41.89,41.81,42.75,1838417,4289.35
2017-06-05,42.62,43.92,42.62,41.89,43.42,1553953,3662.36
2017-06-06,43.21,43.67,42.6,42.62,42.83,3272005,7941.4
2017-06-07,42.46,42.75,42,42.6,42.28,1690225,4141.83
2017-06-08,42.09,42.34,41.9,42,42.23,2838238,6885.52
2017-06-09,42.05,42.33,42.05,41.9,42.2,2551480,6106.81
2017-06-12,42.39,42.39,41.47,42.05,41.65,1885288,4459.96
2017-06-13,41.69,41.8,41.07,41.47,41.12,1948583,4573.57
2017-06-14,41.2,42.3,41.15,41.07,42.16,2035594,4757.48
2017-06-15,41.81,42.66,41.76,41.15,42.48,1127248,2676.63
2017-06-16,42.35,43.63,41.25,41.76,43,1807313,4305.39
2017-06-19,42.75,43.1,41.86,41.25,42.14,1963538,4677.58
2017-06-20,42.33,42.33,41.65,41.86,41.71,2560616,6080.87
2017-06-21,41.66,42.06,41.41,41.65,41.5,3357945,7893.32
2017-06-22,41.69,42.31,41.41,41.41,42.08,5700851,13328.52
2017-06-23,42.07,42.12,41.45,41.41,41.57,13272609,32325.56
2017-06-26,41.59,42.12,41.45,41.45,42,4422342,10917.34
2017-06-27,42.01,42.01,41.52,41.45,41.83,1867720,4544.83
2017-06-28,41.85,41.99,41.54,41.52,41.8,1581985,3821.97
2017-06-29,41.9,41.91,41,41.54,41.65,3996921,9565.1
2017-06-30,41.72,42.2,41.69,41,42.13,2310430,5596.44
2017-07-03,41.99,42.34,41.76,41.69,41.84,2278457,5607.3
2017-07-04,41.76,42.18,41.76,41.76,41.89,2351769,5645.48
2017-07-05,42,42.25,41.66,41.76,41.72,3003282,7143.47
2017-07-06,41.8,41.97,41.3,41.66,41.41,4223216,9934.06
2017-07-07,41.75,41.99,41.55,41.3,41.69,3343525,8021.22
2017-07-10,41.63,41.9,41.46,41.55,41.82,3158004,7794.77
2017-07-11,41.81,41.99,41.32,41.46,41.45,3454849,8566.75
2017-07-12,41.79,41.97,41.16,41.32,41.33,3357333,8804.57
2017-07-13,41.33,41.89,41.25,41.16,41.74,2250217,6045.37
2017-07-14,41.59,42.18,41.43,41.25,41.94,1407688,3811.57
2017-07-17,42,42,41.62,41.43,41.88,1284523,3532.63
2017-07-18,41.89,42.01,41.37,41.62,41.52,2267486,6168.1
2017-07-19,41.56,41.84,41.21,41.37,41.3,2022333,5443.53
2017-07-20,41.6,41.63,41.06,41.21,41.23,2338411,6459.01
2017-07-21,41.23,41.65,41.12,41.06,41.6,3598212,9999.82
2017-07-24,41.69,41.95,41.21,41.12,41.74,6676660,18483.41
2017-07-25,41.99,42.69,41.74,41.21,42.58,3661633,9740.9
2017-07-26,42.41,42.81,42.02,41.74,42.69,2077927,5519.02
2017-07-27,42.72,42.82,42.05,42.02,42.31,4511203,11917.5
2017-07-28,42.5,42.78,41.52,42.05,41.59,2234204,5905.05
2017-07-31,41.59,41.9,41.01,41.52,41.08,2208389,5886.61
2017-08-01,41.37,42.54,41.3,41.01,42.37,2103452,5563.82
2017-08-02,42.11,43,42.11,41.3,42.75,2459832,6442.71
2017-08-03,42.88,43.37,42.27,42.11,43.23,3020580,7806.4
2017-08-04,43.25,43.3,42.81,42.27,42.93,3367252,8755.18
2017-08-07,42.99,43.29,42.76,42.81,42.91,6224725,16640.21
2017-08-08,43.09,43.74,42.99,42.76,43.5,1541522,4214.24
2017-08-09,43.5,44.17,43.45,42.99,44.05,3133233,8614.03
2017-08-10,44,44,43.72,43.45,43.86,3646744,10067.32
2017-08-11,43.61,44,43.51,43.72,43.86,1232644,3311.87
2017-08-14,43.82,44.23,42.92,43.51,43.23,1206633,3209.4
2017-08-15,43.39,44.36,43.3,42.92,44.3,3538690,9470.3
2017-08-16,44.3,44.49,43.7,43.3,44.08,1104173,2945.64
2017-08-17,43.85,44.2,43.8,43.7,43.98,1527128,4075.26
2017-08-18,43.83,44.39,43.8,43.8,44.16,2052017,5408.38
2017-08-21,44.28,44.48,43.67,43.8,44.09,4208120,11030.56
2017-08-22,44.1,44.39,43.43,43.67,43.56,1819147,4706.54
2017-08-23,43.58,44.29,43.58,43.43,43.99,2622839,6920.49
2017-08-24,43.8,44.85,43.7,43.58,44.33,3469905,9239.62
2017-08-25,44.46,44.46,43.57,43.7,43.67,4154146,10876.9
2017-08-28,43.77,43.93,42.41,43.57,42.99,2235734,5803.91
2017-08-29,42.9,43.27,42.72,42.41,43.14,2649349,6862.75
2017-08-30,43.02,43.25,42.82,42.72,42.98,2071496,5324.08
2017-08-31,43.18,43.68,42.79,42.82,43.49,2921253,7380.24
2017-09-01,43.49,43.77,42.83,42.79,42.98,4295785,10726.5
2017-09-04,42.87,43.22,42.81,42.83,42.86,3175432,7874.05
2017-09-05,42.82,43.06,41.71,42.81,41.93,3180360,7762.71
2017-09-06,42.04,43.09,41.8,41.71,43,3297714,8103.65
2017-09-07,43.07,43.33,41.86,41.8,42.18,7108750,17573.66
2017-09-08,42.04,42.68,41.91,41.86,42.44,6328483,15295.87
2017-09-11,42.55,42.94,42.55,41.91,42.72,9298329,23074.68
2017-09-12,42.79,43.09,42.19,42.55,42.34,16822847,43913.37
2017-09-13,42.51,42.51,42,42.19,42.18,1974327,5685.22
2017-09-14,42.29,42.29,41.87,42,41.98,1446384,4157.17
2017-09-15,41.88,42.17,41.15,41.87,41.23,1820409,5311
2017-09-18,41.43,42,41.32,41.15,41.94,1720983,4998.87
2017-09-19,42.04,42.24,41.57,41.32,42.24,1848551,5387.46
2017-09-20,42.24,42.24,41.95,41.57,42.08,1399442,4014.1
2017-09-21,42.21,42.29,41.51,41.95,41.6,2561225,7355.63
2017-09-22,41.87,41.87,41.02,41.51,41.65,1857277,5479.6
2017-09-25,41.37,41.9,41.37,41.02,41.77,3046154,9025.87
2017-09-26,41.82,41.9,41.6,41.37,41.71,1858644,5443.94
2017-09-27,41.83,41.83,41.3,41.6,41.37,4942803,14401.35
2017-09-28,41.24,41.77,41.21,41.3,41.56,4804882,13808.09
2017-09-29,41.51,41.8,41.51,41.21,41.7,2131466,6075.2
2017-10-02,41.8,42.44,41.7,41.51,42.35,1687369,4794.16
2017-10-03,42.12,42.6,41.8,41.7,41.97,2523492,7225.36
2017-10-04,42.07,42.4,41.76,41.8,42.32,2434183,6966.56
2017-10-05,42.44,42.91,42.12,41.76,42.35,4719061,13416.32
2017-10-06,42.58,42.99,42.43,42.12,42.85,5799262,16355.69
2017-10-09,42.97,43.2,42.52,42.43,43.03,3030999,8371.24
2017-10-10,43.14,43.18,42.27,42.52,42.41,2196800,6024.34
2017-10-11,42.55,44.1,42.51,42.27,43.97,2149205,5896.21
2017-10-12,43.6,44.01,43.36,42.51,43.95,1996390,5454.47
2017-10-13,43.95,44.12,43.42,43.36,43.97,2190930,6065.36
2017-10-16,43.61,44.13,43.29,43.42,43.4,4623765,12889.29
2017-10-17,43.4,44.1,43.34,43.29,43.77,1852060,5047.58
2017-10-18,43.65,43.91,43.37,43.34,43.65,2658707,7260.79
2017-10-19,43.65,43.78,42.98,43.37,43.1,3283985,8975.77
2017-10-20,43.69,44.07,41.72,42.98,41.92,2613360,7162.95
2017-10-23,42.06,42.46,41.84,41.72,41.94,6610831,17918.02
2017-10-24,42.03,42.87,42,41.84,42.82,2283408,5951.18
2017-10-25,42.85,43.16,41.88,42,42,3071911,8092.83
2017-10-26,42.4,43.04,42.09,41.88,42.86,2440719,6332.93
2017-10-27,42.85,43.49,42.6,42.09,43.31,2297852,5859.45
2017-10-30,43.5,43.5,42.3,42.6,42.53,1681596,4369.46
2017-10-31,42.88,43.43,42.6,42.3,42.84,1477158,3901.51
2017-11-01,43.13,43.49,42.88,42.6,43.03,2855717,7453.21
2017-11-03,43.03,44.3,42.86,42.88,44.15,3665423,9640.91
2017-11-06,44.1,44.3,43.59,42.86,44.18,2762357,7633.86
2017-11-07,44.28,44.9,43.45,43.59,43.77,2877987,8081.81
2017-11-08,44,44.49,43.61,43.45,44.26,2056369,5729.14
2017-11-09,44.37,45.1,44.13,43.61,45,3095190,8590.75
2017-11-10,45.11,45.21,44.36,44.13,44.52,2583575,7052.02
2017-11-13,44.63,45.13,44.09,44.36,44.49,1614381,4376.16
2017-11-14,44.49,45,44.21,44.09,44.68,2246589,6068.8
2017-11-15,44.79,45.45,44.4,44.21,45.19,4847214,13070.84
2017-11-16,45.34,45.94,44.68,44.4,45.13,6601857,18367.89
2017-11-17,45.39,46,44.95,44.68,45.64,4680138,12811.25
2017-11-21,45.53,47.25,45.45,44.95,47.06,2322191,6392.67
2017-11-22,46.95,47.29,45.97,45.45,46.38,2808234,7727.14
2017-11-23,46.49,46.49,45.36,45.97,45.66,4778178,13208.65
2017-11-24,45.78,46.01,44.9,45.36,45.66,3672359,10027.43
2017-11-27,45.31,45.31,43.75,44.9,43.96,3895920,10479.23
2017-11-28,43.96,44.84,43.71,43.75,44.43,5466484,14389.22
2017-11-29,44.54,46.27,44.2,43.71,45.81,3638163,9678.53
2017-11-30,45.7,45.99,43.74,44.2,43.92,5120799,13695.83
2017-12-01,44.14,44.38,43.6,43.74,44.03,2620461,7022.82
2017-12-04,43.87,44.48,43.71,43.6,44.23,1925414,5331.07
2017-12-05,44.34,44.52,43.77,43.71,44.3,1807307,5082.79
2017-12-06,44.42,44.7,43.91,43.77,44.61,2455660,7003.26
2017-12-07,44.76,44.85,44.11,43.91,44.23,4583181,13079.39
2017-12-08,44.72,45.7,44.54,44.11,45.46,3121544,8655.43
2017-12-11,45.47,46,45.28,44.54,45.85,5863983,16553.84
2017-12-13,45.63,46.23,45.26,45.28,45.42,8055761,22500.69
2017-12-14,45.42,45.95,45.21,45.26,45.44,7044561,18431.55
2017-12-15,45.33,46.37,45.26,45.21,45.86,6833906,18386.99
2017-12-18,45.76,46.59,45.76,45.26,46.26,6697007,18375.08
2017-12-19,46.15,46.59,45.55,45.76,45.85,4593306,13229.01
2017-12-20,45.96,46.42,45.85,45.55,46.22,5397599,15929.24
2017-12-21,46.22,46.59,45.99,45.85,46.52,2590100,7871.4
2017-12-22,46.4,46.5,45.87,45.99,46.01,1806919,5489.77
